problem,form,note,tactic,result,apply_ms,solve_ms,total_ms
sum_to_fwd,recfun,,bv_bound_chk,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,propagate-bv-bounds,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,propagate-bv-bounds2,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,reduce-bv-size,sat,0.02,0.48,0.5
sum_to_fwd,recfun,,bv-slice,sat,0.03,0.47,0.5
sum_to_fwd,recfun,,bvarray2uf,sat,0.03,0.48,0.51
sum_to_fwd,recfun,,dt2bv,sat,0.02,0.44,0.46
sum_to_fwd,recfun,,elim-small-bv,sat,0.02,0.45,0.47
sum_to_fwd,recfun,,max-bv-sharing,sat,0.02,0.44,0.46
sum_to_fwd,recfun,,blast-term-ite,sat,0.02,0.42,0.44
sum_to_fwd,recfun,,cofactor-term-ite,sat,0.02,0.43,0.45
sum_to_fwd,recfun,,collect-statistics,sat,0.09,0.41,0.5
sum_to_fwd,recfun,,ctx-simplify,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,demodulator,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,der,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,distribute-forall,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,dom-simplify,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,elim-term-ite,sat,0.02,0.4,0.42
sum_to_fwd,recfun,,elim-uncnstr2,sat,0.06,0.14,0.2
sum_to_fwd,recfun,,elim-uncnstr,sat,0.02,0.41,0.43
sum_to_fwd,recfun,,elim-predicates,sat,0.13,0.02,0.15
